id	query_id	chunk_id	label
0	1	35	Partial
1	1	37	Exact
2	1	51	Partial
3	1	53	Irrelevant
4	1	315	Partial
5	1	381	Irrelevant
6	1	486	Partial
7	1	489	Partial
8	1	528	Partial
9	1	539	Irrelevant
10	1	590	Irrelevant
11	1	600	Partial
12	1	793	Exact
13	1	799	Exact
14	1	807	Exact
15	1	809	Partial
16	1	810	Partial
17	1	811	Exact
18	1	812	Partial
19	1	813	Partial
20	1	818	Partial
21	1	820	Partial
22	1	822	Partial
23	1	823	Partial
24	1	825	Irrelevant
25	1	848	Irrelevant
26	1	907	Partial
27	1	932	Partial
28	1	982	Irrelevant
29	1	1014	Partial
30	1	1128	Irrelevant
31	1	1147	Partial
32	1	1148	Partial
33	1	1162	Exact
34	1	1167	Partial
35	1	1284	Partial
36	1	1593	Partial
37	1	1689	Partial
38	1	1711	Partial
39	1	1712	Partial
40	1	1713	Partial
41	2	143	Irrelevant
42	2	153	Partial
43	2	174	Partial
44	2	265	Partial
45	2	312	Irrelevant
46	2	332	Partial
47	2	335	Partial
48	2	336	Partial
49	2	337	Exact
50	2	338	Partial
51	2	346	Exact
52	2	396	Partial
53	2	435	Partial
54	2	610	Exact
55	2	624	Exact
56	2	626	Partial
57	2	657	Partial
58	2	659	Partial
59	2	678	Partial
60	2	794	Exact
61	2	861	Exact
62	2	969	Partial
63	2	1071	Partial
64	2	1285	Partial
65	2	1286	Irrelevant
66	2	1290	Irrelevant
67	2	1349	Exact
68	2	1384	Partial
69	2	1386	Irrelevant
70	2	1388	Exact
71	2	1389	Exact
72	2	1485	Exact
73	2	1486	Partial
74	2	1637	Partial
75	3	451	Irrelevant
76	3	485	Exact
77	3	598	Irrelevant
78	3	599	Partial
79	3	767	Irrelevant
80	3	774	Irrelevant
81	3	836	Irrelevant
82	3	837	Exact
83	3	839	Partial
84	3	840	Partial
85	3	841	Partial
86	3	842	Irrelevant
87	3	844	Irrelevant
88	3	846	Partial
89	3	848	Irrelevant
90	3	851	Exact
91	3	852	Partial
92	3	896	Irrelevant
93	3	897	Irrelevant
94	3	911	Irrelevant
95	3	912	Irrelevant
96	3	913	Irrelevant
97	3	915	Irrelevant
98	3	984	Partial
99	3	1011	Partial
100	3	1038	Irrelevant
101	3	1094	Irrelevant
102	3	1095	Irrelevant
103	3	1096	Irrelevant
104	3	1116	Exact
105	3	1137	Irrelevant
106	3	1147	Irrelevant
107	3	1157	Exact
108	3	1500	Partial
109	3	1578	Irrelevant
110	3	1617	Partial
111	3	1621	Irrelevant
112	3	1645	Partial
113	3	1651	Irrelevant
114	3	1671	Irrelevant
115	3	1682	Irrelevant
116	3	1686	Irrelevant
117	3	1723	Irrelevant
118	3	1741	Irrelevant
119	4	70	Partial
120	4	71	Irrelevant
121	4	150	Irrelevant
122	4	244	Partial
123	4	593	Partial
124	4	600	Irrelevant
125	4	677	Irrelevant
126	4	720	Partial
127	4	722	Partial
128	4	723	Partial
129	4	777	Irrelevant
130	4	783	Irrelevant
131	4	900	Partial
132	4	901	Partial
133	4	1140	Partial
134	4	1151	Exact
135	4	1152	Irrelevant
136	4	1153	Partial
137	4	1154	Partial
138	4	1156	Partial
139	4	1162	Irrelevant
140	4	1163	Partial
141	4	1180	Exact
142	4	1189	Irrelevant
143	4	1190	Irrelevant
144	4	1228	Irrelevant
145	4	1569	Irrelevant
146	4	1570	Irrelevant
147	4	1574	Irrelevant
148	4	1575	Irrelevant
149	4	1576	Irrelevant
150	4	1656	Irrelevant
151	4	1671	Partial
152	4	1696	Partial
153	4	1697	Partial
154	4	1710	Irrelevant
155	4	1714	Partial
156	5	4	Irrelevant
157	5	59	Irrelevant
158	5	95	Partial
159	5	349	Irrelevant
160	5	449	Partial
161	5	608	Exact
162	5	610	Partial
163	5	612	Irrelevant
164	5	613	Irrelevant
165	5	615	Partial
166	5	616	Irrelevant
167	5	617	Partial
168	5	618	Partial
169	5	624	Partial
170	5	625	Partial
171	5	788	Partial
172	5	958	Irrelevant
173	5	1026	Exact
174	5	1089	Partial
175	5	1262	Partial
176	5	1286	Irrelevant
177	5	1287	Partial
178	5	1290	Irrelevant
179	5	1348	Partial
180	5	1349	Exact
181	5	1351	Exact
182	5	1352	Partial
183	5	1353	Exact
184	5	1376	Irrelevant
185	5	1435	Partial
186	5	1485	Partial
187	5	1504	Partial
188	5	1505	Partial
189	5	1507	Partial
190	5	1508	Partial
191	5	1619	Irrelevant
192	6	20	Irrelevant
193	6	21	Partial
194	6	22	Partial
195	6	29	Irrelevant
196	6	39	Exact
197	6	40	Partial
198	6	41	Exact
199	6	42	Partial
200	6	43	Partial
201	6	44	Partial
202	6	45	Partial
203	6	46	Exact
204	6	58	Partial
205	6	59	Exact
206	6	62	Exact
207	6	79	Irrelevant
208	6	130	Partial
209	6	131	Partial
210	6	160	Partial
211	6	255	Irrelevant
212	6	283	Irrelevant
213	6	285	Irrelevant
214	6	286	Irrelevant
215	6	287	Irrelevant
216	6	456	Partial
217	6	514	Irrelevant
218	6	561	Irrelevant
219	6	804	Partial
220	6	931	Irrelevant
221	6	1014	Partial
222	6	1182	Irrelevant
223	6	1319	Irrelevant
224	6	1502	Irrelevant
225	6	1581	Irrelevant
226	7	2	Partial
227	7	29	Partial
228	7	34	Partial
229	7	54	Irrelevant
230	7	55	Irrelevant
231	7	56	Irrelevant
232	7	57	Irrelevant
233	7	65	Partial
234	7	136	Irrelevant
235	7	249	Partial
236	7	251	Irrelevant
237	7	255	Irrelevant
238	7	346	Irrelevant
239	7	381	Partial
240	7	600	Partial
241	7	614	Irrelevant
242	7	846	Partial
243	7	847	Partial
244	7	866	Exact
245	7	1013	Partial
246	7	1014	Partial
247	7	1022	Irrelevant
248	7	1028	Partial
249	7	1140	Irrelevant
250	7	1147	Partial
251	7	1149	Irrelevant
252	7	1161	Irrelevant
253	7	1162	Irrelevant
254	7	1163	Partial
255	7	1164	Irrelevant
256	7	1167	Irrelevant
257	7	1307	Partial
258	7	1353	Irrelevant
259	7	1560	Irrelevant
260	7	1671	Irrelevant
261	7	1689	Partial
262	7	1710	Exact
263	7	1711	Irrelevant
264	7	1712	Partial
265	7	1713	Partial
266	8	96	Irrelevant
267	8	128	Partial
268	8	129	Partial
269	8	148	Exact
270	8	352	Partial
271	8	473	Partial
272	8	614	Partial
273	8	716	Partial
274	8	846	Partial
275	8	850	Exact
276	8	857	Partial
277	8	858	Partial
278	8	900	Partial
279	8	901	Partial
280	8	908	Partial
281	8	920	Partial
282	8	938	Irrelevant
283	8	1024	Irrelevant
284	8	1097	Partial
285	8	1151	Irrelevant
286	8	1157	Partial
287	8	1303	Partial
288	8	1304	Partial
289	8	1379	Partial
290	8	1466	Exact
291	8	1467	Exact
292	8	1468	Partial
293	8	1557	Irrelevant
294	8	1570	Irrelevant
295	8	1574	Irrelevant
296	8	1575	Irrelevant
297	8	1665	Partial
298	8	1666	Partial
299	8	1667	Exact
300	8	1668	Partial
301	9	91	Partial
302	9	99	Exact
303	9	312	Irrelevant
304	9	395	Partial
305	9	396	Partial
306	9	435	Partial
307	9	436	Partial
308	9	437	Partial
309	9	481	Irrelevant
310	9	600	Partial
311	9	739	Partial
312	9	800	Irrelevant
313	9	811	Irrelevant
314	9	813	Irrelevant
315	9	818	Irrelevant
316	9	820	Partial
317	9	859	Partial
318	9	861	Exact
319	9	888	Partial
320	9	890	Partial
321	9	896	Partial
322	9	897	Exact
323	9	898	Exact
324	9	918	Irrelevant
325	9	940	Irrelevant
326	9	957	Exact
327	9	958	Partial
328	9	969	Partial
329	9	991	Partial
330	9	1242	Irrelevant
331	9	1488	Irrelevant
332	9	1530	Exact
333	9	1537	Exact
334	9	1538	Partial
335	9	1554	Exact
336	9	1618	Partial
337	9	1620	Exact
338	9	1621	Exact
339	9	1661	Irrelevant
340	9	1728	Irrelevant
341	10	27	Exact
342	10	28	Exact
343	10	29	Partial
344	10	35	Partial
345	10	38	Partial
346	10	47	Partial
347	10	65	Partial
348	10	138	Partial
349	10	250	Partial
350	10	252	Partial
351	10	365	Partial
352	10	487	Partial
353	10	790	Partial
354	10	793	Partial
355	10	797	Partial
356	10	799	Partial
357	10	810	Partial
358	10	813	Partial
359	10	818	Partial
360	10	820	Partial
361	10	821	Irrelevant
362	10	822	Partial
363	10	927	Irrelevant
364	10	1028	Partial
365	10	1041	Partial
366	10	1047	Partial
367	10	1146	Partial
368	10	1147	Exact
369	10	1148	Partial
370	10	1716	Partial
371	10	1717	Partial
372	10	1718	Partial
373	10	1719	Partial
374	10	1720	Partial
375	11	5	Irrelevant
376	11	70	Partial
377	11	72	Irrelevant
